No.,회계연도,소관명,(세입)예산현액(원),(세입)수납액(원),(세입)증감액(원),(세출)예산현액(원),(세출)지출액(원),(세출)증감액(원),다음년도이월액(원),불용액(원)
"52","2024","중앙선거관리위원회","10,017,000,000","5,670,562,600","-4,346,437,400","857,227,690,400","854,516,033,350","2,711,657,050","26,490,000","2,685,167,050"
"53","2024","진실·화해를위한과거사정리위원회",0,"96,082,330","96,082,330","18,030,168,780","16,728,442,080","1,301,726,700","308,940,000","992,786,700"
"54","2024","질병관리청","250,415,000,000","641,288,376,430","390,873,376,430","1,065,011,479,820","1,023,494,464,810","41,517,015,010","3,348,121,520","38,168,893,490"
"55","2024","통계청","3,610,000,000","3,366,410,590","-243,589,410","425,367,140,000","410,091,118,490","15,276,021,510","65,000,000","15,211,021,510"
"56","2024","통일부","1,448,000,000","1,300,375,110","-147,624,890","322,136,556,950","298,656,723,230","23,479,833,720","3,448,118,940","20,031,714,780"
"57","2024","특허청","792,258,000,000","727,180,382,200","-65,077,617,800","792,258,000,000","714,531,217,480","77,726,782,520",0,"77,726,782,520"
"58","2024","해양경찰청","6,216,000,000","15,741,464,390","9,525,464,390","1,916,213,225,360","1,897,122,119,710","19,091,105,650","10,279,476,100","8,811,629,550"
"59","2024","해양수산부","1,849,757,000,000","1,900,160,756,460","50,403,756,460","7,689,948,377,060","7,145,946,744,360","544,001,632,700","200,150,015,310","343,851,617,390"
"60","2024","행정안전부","306,811,000,000","196,076,469,040","-110,734,530,960","72,479,026,259,600","70,190,398,881,670","2,288,627,377,930","26,197,919,810","2,262,429,458,120"
"61","2024","행정중심복합도시건설청","136,303,000,000","220,921,747,990","84,618,747,990","348,919,540,020","260,398,746,120","88,520,793,900","85,334,874,210","3,185,919,690"
"62","2024","헌법재판소","641,000,000","679,994,290","38,994,290","56,766,460,000","54,418,156,950","2,348,303,050",0,"2,348,303,050"
"63","2024","환경부","7,271,065,000,000","7,262,285,248,160","-8,779,751,840","20,109,467,182,050","18,158,204,861,710","1,951,262,320,340","125,298,449,410","1,825,963,870,930"
"64","2023","5·18민주화운동 진상규명조사위원회",0,"66,589,870","66,589,870","13,871,396,060","11,240,241,200","2,631,154,860",0,"2,631,154,860"
"65","2023","감사원","639,000,000","730,747,760","91,747,760","138,948,964,590","132,761,730,090","6,187,234,500","1,168,254,010","5,018,980,490"
"66","2023","개인정보보호위원회","4,244,000,000","123,504,791,670","119,260,791,670","58,924,000,000","56,954,516,290","1,969,483,710","825,930,000","1,143,553,710"
"67","2023","경찰청","1,208,657,000,000","1,462,566,457,710","253,909,457,710","12,507,396,410,800","12,372,137,809,660","135,258,601,140","25,696,788,290","109,561,812,850"
"68","2023","고용노동부","250,447,000,000","344,648,856,850","94,201,856,850","6,996,797,600,380","6,107,841,981,090","888,955,619,290","17,098,872,330","871,856,746,960"
"69","2023","고위공직자범죄수사처",0,"133,528,320","133,528,320","19,316,384,650","17,083,638,100","2,232,746,550",0,"2,232,746,550"
"70","2023","공정거래위원회","421,696,000,000","556,031,711,500","134,335,711,500","161,836,381,000","158,320,078,820","3,516,302,180","1,880,059,720","1,636,242,460"
"71","2023","과학기술정보통신부","11,295,426,000,000","11,910,088,815,840","614,662,815,840","21,697,038,368,940","20,353,122,492,230","1,343,915,876,710","93,562,619,140","1,250,353,257,570"
"72","2023","관세청","94,624,000,000","75,014,926,190","-19,609,073,810","644,108,149,580","622,173,236,260","21,934,913,320","7,175,884,210","14,759,029,110"
"73","2023","교육부","13,505,061,000,000","13,736,020,124,500","230,959,124,500","110,199,664,513,310","99,329,498,658,850","10,870,165,854,460","17,307,644,750","10,852,858,209,710"
"74","2023","국가교육위원회",0,0,0,"9,918,546,190","7,533,110,980","2,385,435,210","1,140,266,960","1,245,168,250"
"75","2023","국가보훈부","9,709,000,000","3,673,583,120","-6,035,416,880","6,085,369,606,180","6,017,363,820,430","68,005,785,750","21,515,857,800","46,489,927,950"
"76","2023","국가인권위원회","27,000,000","31,138,930","4,138,930","41,013,000,000","39,371,365,600","1,641,634,400","384,460,040","1,257,174,360"
"77","2023","국가정보원","9,785,000,000","15,736,514,600","5,951,514,600","861,043,847,690","804,591,268,800","56,452,578,890",0,"56,452,578,890"
"78","2023","국무조정실 및 국무총리비서실","23,000,000","281,228,120","258,228,120","678,249,148,000","653,374,568,050","24,874,579,950","45,454,540","24,829,125,410"
"79","2023","국민권익위원회","823,000,000","841,399,720","18,399,720","94,958,000,000","90,186,481,490","4,771,518,510","1,195,683,000","3,575,835,510"
"80","2023","국방부","1,698,713,000,000","1,941,808,534,470","243,095,534,470","42,701,999,962,870","40,463,154,627,290","2,238,845,335,580","1,073,963,616,690","1,164,881,718,890"
"81","2023","국세청","428,539,000,000","387,205,645,040","-41,333,354,960","1,924,365,547,920","1,893,573,267,350","30,792,280,570",0,"30,792,280,570"
"82","2023","국토교통부","14,754,665,000,000","14,224,719,214,450","-529,945,785,550","36,538,987,517,600","31,380,727,700,240","5,158,259,817,360","660,047,494,310","4,498,212,323,050"
"83","2023","국회","4,196,000,000","3,217,515,590","-978,484,410","743,018,228,470","695,770,812,480","47,247,415,990","9,322,351,360","37,925,064,630"
"84","2023","금융위원회","72,325,000,000","77,381,446,500","5,056,446,500","3,763,709,363,630","1,902,150,874,640","1,861,558,488,990","547,500,000","1,861,010,988,990"
"85","2023","기상청","8,133,000,000","6,785,073,180","-1,347,926,820","485,118,953,490","459,125,978,980","25,992,974,510","12,231,824,130","13,761,150,380"
"86","2023","기획재정부","449,868,328,700,000","409,838,230,447,450","-40,030,098,252,550","26,321,078,659,490","13,920,204,839,390","12,400,873,820,100","3,863,746,080","12,397,010,074,020"
"87","2023","농림축산식품부","15,985,371,000,000","16,687,750,681,570","702,379,681,570","21,821,432,415,550","20,834,114,351,510","987,318,064,040","672,692,721,790","314,625,342,250"
"88","2023","농촌진흥청","15,943,000,000","10,523,292,510","-5,419,707,490","1,260,544,352,920","1,233,090,523,300","27,453,829,620","5,568,426,450","21,885,403,170"
"89","2023","대법원","1,168,554,000,000","752,602,371,870","-415,951,628,130","2,219,019,578,890","2,027,202,686,060","191,816,892,830","19,696,896,810","172,119,996,020"
"90","2023","대통령경호처","67,000,000","513,519,010","446,519,010","130,141,804,000","119,806,223,680","10,335,580,320","5,669,084,000","4,666,496,320"
"91","2023","대통령비서실 및 국가안보실","297,000,000","273,095,510","-23,904,490","98,523,000,000","90,942,809,050","7,580,190,950",0,"7,580,190,950"
"92","2023","문화재청","51,272,000,000","46,928,431,820","-4,343,568,180","1,188,160,457,700","1,132,488,090,990","55,672,366,710","32,337,947,490","23,334,419,220"
"93","2023","문화체육관광부","246,525,000,000","298,018,098,280","51,493,098,280","3,839,108,123,810","3,641,788,486,880","197,319,636,930","86,686,826,050","110,632,810,880"
"94","2023","민주평화통일자문회의","5,000,000","19,821,040","14,821,040","34,033,000,000","32,906,655,670","1,126,344,330",0,"1,126,344,330"
